,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
0,1803195,182943,-31,48.0,45.0,Active,0,0
1,1715348,367990,-33,36.0,35.0,Active,0,0
2,1784872,397406,-32,12.0,9.0,Active,0,0
3,1903291,269225,-35,48.0,42.0,Active,0,0
4,2341044,334279,-35,36.0,35.0,Active,0,0
5,2207092,342166,-32,12.0,12.0,Active,0,0
6,1110516,204376,-38,48.0,43.0,Active,0,0
7,1387235,153211,-35,36.0,36.0,Active,0,0
8,1220500,112740,-31,12.0,12.0,Active,0,0
9,2371489,274851,-32,24.0,16.0,Active,0,0
10,2328294,287361,-32,12.0,12.0,Active,0,0
11,2023570,237959,-39,12.0,12.0,Active,0,0
12,1258390,278261,-32,36.0,36.0,Active,0,0
13,1627166,146161,-33,24.0,24.0,Active,0,0
14,1711625,131467,-34,12.0,5.0,Active,0,0
15,2374177,204722,-35,24.0,15.0,Active,0,0
16,1716688,405549,-33,12.0,1.0,Active,0,0
17,1846127,380050,-31,36.0,28.0,Active,0,0
18,1911764,312551,-32,24.0,16.0,Active,0,0
19,2645133,152810,-35,24.0,23.0,Active,0,0
20,1381005,195362,-34,60.0,56.0,Active,0,0
21,1366811,169489,-38,24.0,24.0,Active,0,0
22,1260621,244684,-32,18.0,12.0,Active,0,0
23,1445556,220181,-41,12.0,12.0,Active,0,0
24,1420240,386836,-41,12.0,11.0,Active,0,0
25,2631694,337149,-33,12.0,11.0,Active,0,0
26,1059679,139637,-31,12.0,12.0,Active,0,0
27,1865970,202091,-35,12.0,7.0,Active,0,0
28,2683316,454237,-32,18.0,15.0,Active,0,0
29,2759941,428330,-32,18.0,18.0,Active,0,0
30,2090361,336201,-35,12.0,12.0,Active,0,0
31,1463929,108990,-41,12.0,12.0,Active,0,0
32,2504959,122511,-34,36.0,35.0,Active,0,0
33,1873885,148915,-31,24.0,23.0,Active,0,0
34,1050971,220814,-33,18.0,12.0,Active,0,0
35,2701303,109846,-33,18.0,12.0,Active,0,0
36,2246356,331357,-35,36.0,35.0,Active,0,0
37,1519906,122077,-39,24.0,11.0,Active,0,0
38,2465534,266721,-35,18.0,17.0,Active,0,0
39,2833264,429694,-37,60.0,46.0,Active,0,0
40,2397883,223795,-31,12.0,7.0,Active,0,0
41,1010305,338532,-39,24.0,21.0,Active,0,0
42,1298869,210084,-41,48.0,0.0,Completed,0,0
43,1557122,420239,-38,24.0,4.0,Active,0,0
44,1891208,164877,-34,48.0,42.0,Active,0,0
45,1443121,370945,-33,24.0,24.0,Active,0,0
46,1894403,266542,-37,48.0,40.0,Active,0,0
47,2027470,391768,-41,48.0,40.0,Active,0,0
48,2294245,426454,-38,12.0,5.0,Active,0,0
49,1799734,344436,-32,48.0,46.0,Active,0,0
50,1099860,184062,-31,36.0,32.0,Active,0,0
51,2165412,239703,-35,12.0,12.0,Signed,0,0
52,1955907,134432,-34,4.0,0.0,Completed,0,0
53,1189925,445620,-31,12.0,12.0,Active,0,0
54,1288860,220431,-40,18.0,17.0,Active,0,0
55,2287226,224318,-37,24.0,19.0,Active,0,0
56,1367593,336653,-31,18.0,18.0,Signed,0,0
57,2738262,207514,-33,12.0,12.0,Active,0,0
58,1206782,380743,-38,12.0,12.0,Active,0,0
59,1928156,212022,-33,24.0,19.0,Active,0,0
